City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Faanui,PF,81.97,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
337,Dalaba,GN,86.65,overcast clouds,10.7,-12.25,Hôtel Tangama
340,Kungsbacka,SE,66.0,clear sky,57.4872,12.0761,Hotell Halland AB
341,Buluang,PH,76.12,moderate rain,13.3068,123.3425,Enon Beach Resort
342,Palatka,US,66.0,light rain,29.6486,-81.6376,Holiday Inn Express & Suites Palatka Northwest
344,Effingham,US,71.6,scattered clouds,32.3669,-81.3332,Elizabeth Hobbs
345,Khanapur,IN,78.8,scattered clouds,15.6333,74.5167,PWD Guest House Khanapur
346,Cerritos,US,73.99,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
349,Thinadhoo,MV,83.7,few clouds,0.5333,72.9333,
352,Piacabucu,BR,82.63,broken clouds,-10.4056,-36.4344,Piaçabuçu News
353,Khash,IR,71.67,overcast clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
356,Besikduzu,TR,71.6,broken clouds,41.052,39.2284,YKT
358,Fasa,IR,78.8,scattered clouds,28.9383,53.6482,Fasa University Boys' Dormitory
361,Safaga,EG,87.8,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
362,Manthani,IN,97.63,broken clouds,18.65,79.6667,Social Welfare Boys Hostel
364,Ahmadpur,IN,93.88,clear sky,18.7,76.9333,Hengane (Pitashri Niwas)
365,Moron,AR,73.0,scattered clouds,-34.6534,-58.6198,Hotel Morón
366,Arua,UG,75.06,overcast clouds,3.0201,30.9111,Golden Courts Hotel
368,Sao Jose Da Coroa Grande,BR,80.69,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
370,Matara,LK,79.68,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
371,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
372,San Carlos,VE,92.19,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
374,Barranca,PE,71.8,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
378,Popondetta,PG,73.58,overcast clouds,-8.7537,148.2534,Timos Transit House
379,Balabac,PH,80.82,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
382,Shache,CN,65.41,overcast clouds,38.4167,77.2406,Delong Hotel
385,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Pension Oaoa
387,Kupang,ID,77.74,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
388,Tamandare,BR,80.15,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
389,Los Llanos De Aridane,ES,71.6,few clouds,28.6585,-17.9182,Valle Aridane
392,Dhadar,IN,87.3,scattered clouds,28.3305,75.0632,ढाढर
393,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
394,Alexandria,EG,89.6,clear sky,31.2156,29.9553,Royal Crown Hotel
